Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
2021-08-26T00:00:00,16 - 17 Years,44.96130614,0.566,0.449
2021-08-26T00:00:00,18 - 24 Years,39.61246179,0.584,0.47
2021-08-26T00:00:00,25 - 39 Years,38.87218677,0.62,0.513
2021-08-26T00:00:00,40 - 49 Years,33.65840239,0.713,0.605
2021-08-26T00:00:00,50 - 64 Years,25.13509041,0.798,0.696
2021-08-26T00:00:00,65 - 74 Years,17.81127281,0.938,0.833
2021-08-26T00:00:00,75+ Years,18.80173035,0.888,0.789
2021-08-25T00:00:00,<12 Years,29.69870373,0.005,0.003
2021-08-25T00:00:00,12 - 15 Years,41.38823014,0.477,0.347
2021-08-25T00:00:00,16 - 17 Years,43.37474051,0.564,0.446
2021-08-25T00:00:00,18 - 24 Years,38.58095128,0.582,0.469
2021-08-25T00:00:00,25 - 39 Years,37.91724244,0.618,0.511
2021-08-25T00:00:00,40 - 49 Years,32.77828669,0.712,0.604
2021-08-25T00:00:00,50 - 64 Years,24.41973414,0.797,0.695
2021-08-25T00:00:00,65 - 74 Years,17.31587902,0.937,0.832
2021-08-25T00:00:00,75+ Years,18.1630408,0.887,0.788
2021-08-24T00:00:00,<12 Years,27.95935059,0.005,0.003
2021-08-24T00:00:00,12 - 15 Years,38.82554433,0.474,0.344
2021-08-24T00:00:00,16 - 17 Years,40.68567542,0.561,0.444
2021-08-24T00:00:00,18 - 24 Years,35.75398847,0.58,0.467
2021-08-24T00:00:00,25 - 39 Years,35.46317905,0.616,0.51
2021-08-24T00:00:00,40 - 49 Years,30.57976899,0.71,0.602
2021-08-24T00:00:00,50 - 64 Years,22.72930481,0.795,0.694
2021-08-24T00:00:00,65 - 74 Years,16.22753959,0.937,0.832
2021-08-24T00:00:00,75+ Years,16.98451486,0.887,0.788
2021-08-23T00:00:00,<12 Years,26.33958355,0.005,0.003
2021-08-23T00:00:00,12 - 15 Years,36.14839188,0.471,0.341
2021-08-23T00:00:00,16 - 17 Years,38.02589547,0.559,0.442
2021-08-23T00:00:00,18 - 24 Years,33.58318358,0.579,0.466
2021-08-23T00:00:00,25 - 39 Years,33.6261144,0.615,0.509
2021-08-23T00:00:00,40 - 49 Years,28.95594843,0.709,0.601
2021-08-23T00:00:00,50 - 64 Years,21.53787678,0.794,0.693
2021-08-23T00:00:00,65 - 74 Years,15.45645577,0.936,0.831
2021-08-23T00:00:00,75+ Years,16.15092334,0.886,0.787
2021-08-22T00:00:00,<12 Years,25.4313836,0.005,0.003
2021-08-22T00:00:00,12 - 15 Years,34.39466055,0.469,0.339
2021-08-22T00:00:00,16 - 17 Years,36.14131046,0.558,0.44
